电报 @xainrg 整理
港台频道,#genre#
广东珠江,http://php.jdshipin.com/TVOD/iptv.php?id=gdzj
广东珠江,http://iptv.4666888.xyz/iptv2A.php?id=19
广东体育,http://php.jdshipin.com/TVOD/iptv.php?id=gdty
广东体育,http://iptv.4666888.xyz/iptv2A.php?id=20
翡翠台,http://hls.168.us.kg/u/81/master.m3u8
翡翠台,http://rihou.cc:555/tv/[Pd]无线翡翠
翡翠台,http://rihou.cc:555/tv/[Mt]无线翡翠
翡翠台,http://rihou.cc:555/tv/[PL]无线翡4k
翡翠台,http://r.jdshipin.com/62WM7
翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
翡翠台,http://r.jdshipin.com/thuYX
翡翠台,http://api.kkitv.itv888.vip:8080/streams/jutaw8wu0j9/index.m3u8
翡翠台,http://mytv.cdn.loc.cc/o12.php?id=fct
明珠台,http://hls.168.us.kg/u/84/master.m3u8
明珠台,http://rihou.cc:555/tv/[Mt]无线明珠
明珠台,http://rihou.cc:555/tv/[Pd]无线明珠
明珠台,http://r.jdshipin.com/ZQ4kN
明珠台,http://php.jdshipin.com/PLTV/iptv.php?id=mzt
明珠台,http://php.jdshipin.com/TVOD/iptv.php?id=mzt
TVB1,https://6.cdn.loc.cc/163189.php?id=tvb1
TVB1,http://iptv.4666888.xyz/iptv2A.php?id=25
TVBJ1,http://php.jdshipin.com/TVOD/iptv.php?id=j1
TVBJ1,http://iptv.4666888.xyz/iptv2A.php?id=26
TVB星河,https://cdn6.101.qzz.io/163189/tvbxh
TVB星河,http://rihou.cc:555/tv/[Pd]无线星河
TVB星河,http://rihou.cc:555/tv/[PL]无线星河
TVB星河,http://r.jdshipin.com/Voac4
ViuTV,https://cdn.163189.xyz/163189/viu
ViuTV,http://r.jdshipin.com/vSJvl
ViuTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv2
ViuTV6,http://api.kkitv.itv888.vip:8080/streams/bvdslcl5cts/index.m3u8
ViuTV6,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=4aCiD4&tk=rf2ptUUwLxlr
RHK31,http://php.jdshipin.com/TVOD/iptv.php?id=rthk31
RHK31,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=R4jPlP&tk=rf2ptUUwLxlr
RHK31,http://rihou.cc:555/tv/[Mt]RTHK-31
RHK31,http://rihou.cc:555/tv/[PL]RTHK-31
RHK32,http://api.kkitv.itv888.vip:8080/streams/emzampd6m1i/index.m3u8
RHK32,http://rihou.cc:555/tv/[PL]RTHK-32
RHK32,http://php.jdshipin.com/TVOD/iptv.php?id=rthk32
无线新闻台,https://cdn6.101.qzz.io/163189/wxxw
无线新闻台,http://bxtv.3a.ink/api.php?id=wxxw
无线新闻台,http://hls.168.us.kg/u/83/master.m3u8
无线新闻台,http://rihou.cc:555/tv/[Mt]无线新闻
凤凰中文HD,https://cdn6.101.qzz.io/163189/fhzw
凤凰中文HD,http://rihou.cc:555/tv/[Bx]凤凰中文
凤凰中文HD,http://rihou.cc:555/tv/[PL]凤凰中文
凤凰中文HD,http://r.jdshipin.com/cCCzW
凤凰中文HD,http://43.152.143.193/1.v.smtcdns.net/tvlive.fengshows.cn/live/0701pcc72.flv
